loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
34,5,Not Graduate,Yes,97808.94,256166.3,2,830,62877.18,Approved
35,3,Graduate,No,57055.22,138562.7,8,612,67534.74,Approved
36,2,Graduate,Yes,19794.67,39589.33,8,691,10479.53,Approved
37,3,Not Graduate,No,18630.27,72192.31,18,636,16301.49,Approved
38,5,Graduate,Yes,93151.37,316714.7,6,348,82671.84,Rejected
39,5,Graduate,No,41918.12,89658.2,16,830,33767.37,Approved
40,3,Not Graduate,Yes,17465.88,59384,6,352,10479.53,Rejected
41,1,Graduate,No,90822.59,210755,2,712,104795.3,Approved
42,2,Not Graduate,No,105959.7,289933.6,16,822,60548.39,Approved
43,3,Graduate,No,16301.49,39589.33,6,540,9315.137,Rejected
44,2,Graduate,Yes,9315.137,26781.02,12,342,9315.137,Rejected
45,5,Graduate,No,75685.49,156028.5,18,787,62877.18,Approved
46,4,Graduate,No,93151.37,323701,16,331,126918.7,Rejected
47,3,Not Graduate,Yes,48904.47,170001.3,6,679,57055.22,Approved
48,1,Graduate,Yes,57055.22,222398.9,14,677,75685.49,Approved
49,3,Not Graduate,No,64041.57,238700.4,12,634,95480.16,Approved
50,1,Not Graduate,Yes,110617.3,222398.9,16,662,136233.9,Approved
51,4,Graduate,No,85000.63,295755.6,16,502,122261.2,Rejected
52,2,Graduate,No,101302.1,287604.9,10,435,131576.3,Rejected
53,5,Not Graduate,No,44246.9,88493.8,4,689,39589.33,Approved
54,1,Not Graduate,Yes,97808.94,267810.2,12,657,95480.16,Approved
55,2,Graduate,Yes,59384,229385.3,20,590,39589.33,Approved
56,5,Not Graduate,No,78014.27,285276.1,12,818,72192.31,Approved
57,2,Not Graduate,No,50068.86,123425.6,18,431,60548.39,Rejected
58,5,Graduate,Yes,108288.5,355139.6,18,841,101302.1,Approved
59,1,Graduate,No,86165.02,214248.2,20,421,47740.08,Rejected
60,4,Not Graduate,Yes,64041.57,211919.4,16,797,55890.82,Approved
61,2,Not Graduate,No,98973.33,220070.1,18,478,132740.7,Rejected
62,3,Not Graduate,Yes,111781.6,355139.6,18,669,108288.5,Approved
63,5,Not Graduate,Yes,102466.5,336509.3,6,365,54726.43,Rejected
64,3,Not Graduate,Yes,38424.94,87329.41,20,586,33767.37,Approved
65,4,Graduate,Yes,45411.29,143220.2,18,784,32602.98,Approved
66,1,Graduate,No,47740.08,119932.4,12,364,32602.98,Rejected
67,3,Not Graduate,No,96644.55,338838.1,10,715,138562.7,Approved
68,0,Not Graduate,Yes,31438.59,117603.6,20,693,16301.49,Rejected
69,4,Graduate,No,65205.96,144384.6,4,777,64041.57,Approved
70,0,Graduate,No,22123.45,58219.61,12,312,27945.41,Rejected
71,4,Not Graduate,Yes,5821.961,17465.88,20,340,6986.353,Rejected
72,5,Graduate,Yes,61712.78,216576.9,4,386,48904.47,Approved
73,5,Not Graduate,No,81507.45,213083.8,4,418,88493.8,Rejected
74,3,Not Graduate,Yes,67534.74,194453.5,16,735,65205.96,Approved
75,2,Not Graduate,No,30274.2,97808.94,6,494,23287.84,Rejected
76,2,Not Graduate,No,22123.45,75685.49,18,671,12808.31,Approved
77,4,Graduate,No,66370.35,172330,16,697,73356.71,Approved
78,0,Graduate,No,104795.3,390071.4,8,801,129247.5,Approved
79,2,Not Graduate,No,98973.33,342331.3,12,576,104795.3,Approved
80,0,Not Graduate,No,8150.745,16301.49,14,639,10479.53,Approved
81,4,Graduate,No,40753.73,103630.9,4,470,23287.84,Rejected
82,0,Not Graduate,No,102466.5,363290.3,4,826,100137.7,Approved
83,2,Not Graduate,Yes,115274.8,246851.1,16,363,79178.67,Rejected
84,3,Graduate,No,41918.12,100137.7,20,613,38424.94,Approved
85,3,Not Graduate,Yes,34931.76,95480.16,16,713,39589.33,Approved
86,2,Graduate,No,79178.67,246851.1,16,439,41918.12,Rejected
87,5,Not Graduate,Yes,12808.31,44246.9,18,387,18630.27,Rejected
88,1,Not Graduate,Yes,101302.1,329523,8,402,118768,Rejected
89,4,Graduate,Yes,23287.84,93151.37,6,837,33767.37,Approved
90,2,Not Graduate,No,114110.4,437811.4,10,641,88493.8,Approved
91,4,Graduate,No,66370.35,245686.7,18,489,69863.53,Rejected
92,4,Graduate,No,102466.5,241029.2,18,540,147877.8,Rejected
93,4,Graduate,No,44246.9,103630.9,4,844,54726.43,Approved
94,1,Graduate,No,19794.67,74521.1,10,452,24452.24,Rejected
95,2,Graduate,No,11643.92,23287.84,10,366,15137.1,Rejected
96,5,Graduate,No,3493.176,12808.31,2,300,4657.569,Approved
97,2,Graduate,Yes,76849.88,174658.8,18,470,81507.45,Rejected
98,2,Not Graduate,No,101302.1,291098,20,861,85000.63,Approved
99,4,Graduate,No,109452.9,342331.3,12,562,82671.84,Approved
100,0,Graduate,No,51233.25,125754.4,14,463,54726.43,Rejected
101,4,Not Graduate,No,4657.569,10479.53,12,478,1164.392,Rejected
102,2,Not Graduate,Yes,3493.176,12808.31,2,702,2328.784,Approved
103,2,Not Graduate,Yes,50068.86,150206.6,20,618,27945.41,Approved
104,4,Graduate,No,18630.27,52397.65,12,633,22123.45,Approved
105,5,Not Graduate,Yes,72192.31,274796.5,10,331,101302.1,Rejected
106,3,Not Graduate,Yes,48904.47,112946,16,841,59384,Approved
107,4,Not Graduate,Yes,104795.3,210755,12,764,135069.5,Approved
108,0,Graduate,No,31438.59,123425.6,6,591,20959.06,Approved
109,1,Graduate,Yes,112946,418016.8,2,719,126918.7,Approved
110,2,Graduate,No,38424.94,79178.67,14,317,41918.12,Rejected
111,0,Not Graduate,No,3493.176,12808.31,8,778,1164.392,Approved
112,3,Graduate,Yes,86165.02,211919.4,14,302,58219.61,Rejected
113,5,Not Graduate,No,82671.84,229385.3,8,502,114110.4,Rejected
114,5,Not Graduate,Yes,85000.63,257330.7,18,879,114110.4,Approved
115,1,Not Graduate,No,97808.94,272467.8,14,437,94315.76,Rejected
116,0,Not Graduate,Yes,38424.94,125754.4,12,797,38424.94,Approved
117,4,Not Graduate,Yes,67534.74,270139,18,456,87329.41,Rejected
118,0,Not Graduate,No,6986.353,18630.27,6,647,8150.745,Approved
119,0,Not Graduate,No,83836.23,183974,12,379,41918.12,Rejected
120,1,Not Graduate,Yes,105959.7,383085,2,717,68699.14,Approved
121,5,Graduate,No,10479.53,26781.02,16,545,9315.137,Rejected
122,2,Graduate,No,9315.137,37260.55,8,317,10479.53,Rejected
123,1,Not Graduate,No,98973.33,383085,10,570,64041.57,Approved
124,0,Not Graduate,Yes,104795.3,217741.3,18,865,131576.3,Approved
125,3,Graduate,No,81507.45,227056.5,14,719,118768,Approved
126,3,Graduate,No,2328.784,6986.353,16,821,1164.392,Approved
127,4,Not Graduate,Yes,4657.569,9315.137,10,859,2328.784,Approved
128,3,Not Graduate,No,59384,211919.4,10,395,73356.71,Rejected
129,2,Not Graduate,Yes,8150.745,30274.2,12,429,9315.137,Rejected
130,3,Graduate,No,4657.569,13972.71,12,861,2328.784,Approved
131,0,Not Graduate,Yes,110617.3,242193.6,14,565,156028.5,Approved
132,5,Graduate,No,102466.5,263152.6,10,357,57055.22,Rejected
133,3,Not Graduate,Yes,20959.06,41918.12,18,465,30274.2,Rejected
134,4,Not Graduate,Yes,79178.67,161850.5,8,479,111781.6,Rejected
135,3,Not Graduate,No,17465.88,64041.57,16,717,15137.1,Approved
136,3,Graduate,No,18630.27,64041.57,12,425,10479.53,Rejected
137,2,Not Graduate,No,53562.04,194453.5,2,786,71027.92,Approved
138,5,Not Graduate,Yes,25616.63,78014.27,6,382,12808.31,Rejected
139,3,Not Graduate,Yes,33767.37,98973.33,12,564,20959.06,Approved
140,0,Graduate,No,2328.784,8150.745,8,501,1164.392,Rejected
141,2,Not Graduate,Yes,29109.8,109452.9,10,727,38424.94,Approved
142,4,Not Graduate,No,41918.12,87329.41,6,894,32602.98,Approved
143,0,Graduate,Yes,64041.57,194453.5,18,829,68699.14,Approved
144,4,Not Graduate,No,76849.88,202604.2,20,506,83836.23,Rejected
145,2,Graduate,Yes,100137.7,373769.9,6,802,114110.4,Approved
146,5,Not Graduate,No,6986.353,17465.88,14,543,3493.176,Rejected
147,3,Graduate,Yes,16301.49,37260.55,20,772,18630.27,Approved
148,3,Graduate,No,46575.69,129247.5,12,572,27945.41,Approved
149,0,Not Graduate,Yes,57055.22,138562.7,16,709,44246.9,Approved
150,5,Graduate,No,23287.84,72192.31,18,402,12808.31,Rejected
151,1,Not Graduate,Yes,60548.39,224727.7,8,481,48904.47,Rejected
152,5,Graduate,Yes,103630.9,335344.9,6,772,97808.94,Approved
153,1,Graduate,Yes,75685.49,239864.8,2,306,37260.55,Approved
154,2,Not Graduate,No,15137.1,52397.65,6,415,13972.71,Rejected
155,3,Not Graduate,No,109452.9,407537.3,16,548,55890.82,Rejected
156,5,Not Graduate,No,58219.61,130411.9,8,701,53562.04,Approved
157,2,Graduate,No,34931.76,89658.2,12,890,24452.24,Approved
158,5,Not Graduate,Yes,115274.8,387742.6,6,364,96644.55,Rejected
159,5,Graduate,Yes,8150.745,15137.1,20,704,6986.353,Approved
160,3,Graduate,Yes,46575.69,123425.6,10,318,57055.22,Rejected
161,5,Not Graduate,No,36096.16,111781.6,2,761,48904.47,Approved
162,4,Not Graduate,No,52397.65,175823.2,6,693,69863.53,Approved
163,3,Not Graduate,No,112946,239864.8,16,524,71027.92,Rejected
164,2,Not Graduate,Yes,23287.84,61712.78,10,681,33767.37,Approved
165,2,Graduate,Yes,94315.76,259659.4,18,737,85000.63,Approved
166,0,Not Graduate,No,66370.35,185138.4,16,638,52397.65,Approved
167,4,Not Graduate,No,67534.74,149042.2,2,656,32602.98,Approved
168,1,Graduate,No,20959.06,75685.49,6,540,12808.31,Rejected
169,4,Not Graduate,Yes,105959.7,409866,6,341,95480.16,Rejected
170,0,Not Graduate,Yes,55890.82,203768.6,2,371,40753.73,Approved
171,3,Not Graduate,Yes,44246.9,122261.2,12,886,26781.02,Approved
172,0,Not Graduate,No,22123.45,47740.08,18,801,13972.71,Approved
173,3,Not Graduate,Yes,41918.12,110617.3,16,748,30274.2,Approved
174,2,Not Graduate,Yes,86165.02,328358.6,8,376,60548.39,Rejected
175,4,Not Graduate,Yes,76849.88,166508.1,8,371,86165.02,Rejected
176,2,Graduate,No,20959.06,61712.78,6,826,15137.1,Approved
177,4,Not Graduate,No,107124.1,316714.7,12,873,132740.7,Approved
178,5,Not Graduate,Yes,27945.41,100137.7,8,309,32602.98,Rejected
179,4,Not Graduate,No,65205.96,154864.2,20,869,75685.49,Approved
180,5,Graduate,No,44246.9,161850.5,12,534,32602.98,Rejected
181,3,Not Graduate,Yes,52397.65,208426.2,6,787,48904.47,Approved
182,0,Graduate,Yes,10479.53,25616.63,16,566,6986.353,Approved
183,0,Not Graduate,No,32602.98,115274.8,8,742,19794.67,Approved
184,2,Not Graduate,No,87329.41,268974.6,4,824,110617.3,Approved
185,4,Graduate,No,16301.49,36096.16,14,575,16301.49,Approved
186,2,Graduate,Yes,44246.9,126918.7,10,766,34931.76,Approved
187,1,Not Graduate,Yes,19794.67,58219.61,10,888,25616.63,Approved
188,3,Graduate,Yes,104795.3,353975.2,6,638,107124.1,Approved
189,5,Not Graduate,Yes,85000.63,271303.4,6,622,122261.2,Approved
190,1,Not Graduate,No,86165.02,230549.6,18,458,46575.69,Rejected
191,1,Not Graduate,No,104795.3,328358.6,16,327,130411.9,Rejected
192,0,Not Graduate,No,34931.76,75685.49,2,612,19794.67,Approved
193,1,Graduate,No,9315.137,33767.37,8,682,8150.745,Approved
194,2,Graduate,No,55890.82,153699.8,2,583,60548.39,Approved
195,5,Not Graduate,No,74521.1,213083.8,8,697,41918.12,Approved
196,3,Graduate,No,107124.1,315550.3,12,306,111781.6,Rejected
197,4,Not Graduate,Yes,4657.569,17465.88,2,669,5821.961,Approved
198,2,Not Graduate,No,32602.98,69863.53,18,816,39589.33,Approved
199,4,Not Graduate,Yes,98973.33,336509.3,20,455,109452.9,Rejected
200,3,Graduate,Yes,54726.43,190960.3,10,318,50068.86,Rejected
201,4,Not Graduate,Yes,114110.4,246851.1,20,355,167672.5,Rejected
202,2,Not Graduate,Yes,44246.9,103630.9,16,389,25616.63,Rejected
203,2,Graduate,No,5821.961,17465.88,2,888,6986.353,Approved
204,2,Graduate,Yes,80343.06,181645.2,6,352,116439.2,Rejected
205,4,Not Graduate,Yes,111781.6,350482,12,870,65205.96,Approved
206,3,Not Graduate,No,33767.37,75685.49,18,827,37260.55,Approved
207,2,Graduate,No,114110.4,243358,12,768,156028.5,Approved
208,0,Graduate,No,82671.84,179316.4,18,707,67534.74,Approved
209,1,Not Graduate,Yes,89658.2,222398.9,10,355,76849.88,Rejected
210,3,Graduate,No,16301.49,38424.94,2,652,22123.45,Approved
211,3,Graduate,No,90822.59,185138.4,2,665,62877.18,Approved
212,5,Not Graduate,Yes,19794.67,69863.53,18,420,26781.02,Rejected
213,2,Not Graduate,No,98973.33,380756.2,18,471,145549,Rejected
214,5,Not Graduate,No,22123.45,87329.41,20,715,32602.98,Approved
215,2,Not Graduate,Yes,78014.27,176987.6,10,689,79178.67,Approved
216,3,Graduate,Yes,80343.06,190960.3,4,787,44246.9,Approved
217,2,Graduate,No,30274.2,90822.59,4,819,17465.88,Approved
218,4,Graduate,Yes,111781.6,245686.7,6,809,101302.1,Approved
219,1,Not Graduate,Yes,79178.67,197946.7,2,744,40753.73,Approved
220,0,Not Graduate,No,37260.55,131576.3,6,484,24452.24,Rejected
221,4,Not Graduate,No,33767.37,121096.8,6,673,19794.67,Approved
222,3,Graduate,Yes,91986.98,246851.1,18,695,57055.22,Approved
223,4,Not Graduate,Yes,45411.29,144384.6,12,473,44246.9,Rejected
224,4,Graduate,Yes,53562.04,128083.1,2,491,40753.73,Rejected
225,3,Not Graduate,Yes,8150.745,19794.67,8,733,5821.961,Approved
226,0,Not Graduate,No,60548.39,181645.2,20,434,64041.57,Rejected
227,3,Not Graduate,Yes,68699.14,239864.8,10,777,74521.1,Approved
228,4,Graduate,No,83836.23,222398.9,4,774,41918.12,Approved
229,1,Not Graduate,Yes,101302.1,314385.9,10,717,105959.7,Approved
230,3,Not Graduate,Yes,12808.31,40753.73,12,503,13972.71,Rejected
231,1,Graduate,Yes,46575.69,126918.7,14,598,51233.25,Approved
232,2,Graduate,No,114110.4,377263.1,2,543,89658.2,Approved
233,0,Not Graduate,Yes,31438.59,79178.67,20,796,22123.45,Approved
234,3,Not Graduate,Yes,102466.5,402879.7,8,386,69863.53,Rejected
235,5,Not Graduate,Yes,38424.94,90822.59,16,632,57055.22,Approved
236,1,Graduate,Yes,80343.06,272467.8,4,481,118768,Approved
237,3,Graduate,Yes,10479.53,40753.73,4,770,6986.353,Rejected
238,3,Graduate,Yes,47740.08,180480.8,6,667,46575.69,Approved
239,3,Not Graduate,Yes,54726.43,203768.6,8,585,57055.22,Approved
240,5,Graduate,Yes,39589.33,135069.5,16,479,27945.41,Rejected
241,2,Graduate,No,111781.6,261988.2,18,851,147877.8,Approved
242,3,Not Graduate,Yes,81507.45,188631.5,6,378,64041.57,Rejected
243,5,Graduate,No,66370.35,150206.6,18,807,64041.57,Approved
244,1,Not Graduate,Yes,95480.16,377263.1,18,831,90822.59,Approved
245,2,Not Graduate,No,24452.24,59384,12,674,27945.41,Approved
246,1,Not Graduate,Yes,93151.37,327194.2,18,725,87329.41,Approved
247,2,Not Graduate,No,93151.37,341166.9,4,600,75685.49,Approved
248,0,Not Graduate,Yes,109452.9,314385.9,10,536,55890.82,Rejected
249,0,Graduate,No,97808.94,239864.8,10,477,138562.7,Rejected
250,1,Not Graduate,Yes,22123.45,58219.61,6,560,16301.49,Approved
251,0,Not Graduate,Yes,48904.47,190960.3,20,539,36096.16,Rejected
252,5,Graduate,No,30274.2,105959.7,8,852,38424.94,Approved
253,3,Not Graduate,No,43082.51,98973.33,20,853,57055.22,Approved
254,0,Graduate,No,102466.5,359797.2,12,729,132740.7,Approved
255,2,Not Graduate,No,24452.24,54726.43,2,546,17465.88,Rejected
256,3,Graduate,Yes,10479.53,27945.41,10,489,5821.961,Rejected
257,3,Graduate,Yes,114110.4,412194.8,6,869,119932.4,Approved
258,2,Not Graduate,No,93151.37,232878.4,2,502,115274.8,Rejected
259,0,Graduate,No,114110.4,451784.2,8,652,62877.18,Approved
260,0,Not Graduate,Yes,3493.176,12808.31,8,789,4657.569,Approved
261,4,Not Graduate,No,31438.59,94315.76,4,325,39589.33,Approved
262,3,Graduate,Yes,86165.02,228220.9,2,716,48904.47,Approved
263,3,Graduate,No,107124.1,399386.5,18,523,102466.5,Rejected
264,5,Not Graduate,No,110617.3,258495.1,20,352,81507.45,Rejected
265,5,Graduate,Yes,44246.9,167672.5,2,345,54726.43,Approved
266,0,Graduate,No,96644.55,225892.1,18,649,131576.3,Approved
267,2,Graduate,Yes,32602.98,86165.02,18,666,39589.33,Approved
268,0,Graduate,No,100137.7,243358,10,813,55890.82,Approved
269,0,Not Graduate,No,62877.18,195617.9,10,599,88493.8,Approved
270,5,Graduate,Yes,48904.47,109452.9,6,678,66370.35,Approved
271,5,Not Graduate,No,60548.39,142055.8,20,513,62877.18,Rejected
272,5,Graduate,No,109452.9,324865.4,4,870,121096.8,Approved
273,3,Graduate,No,102466.5,237536,8,483,137398.3,Rejected
274,1,Graduate,Yes,68699.14,194453.5,16,308,61712.78,Rejected
275,3,Graduate,Yes,19794.67,57055.22,16,591,16301.49,Approved
276,1,Not Graduate,No,81507.45,267810.2,10,886,41918.12,Approved
277,4,Not Graduate,No,19794.67,46575.69,6,829,19794.67,Approved
278,0,Not Graduate,No,17465.88,57055.22,12,651,9315.137,Approved
279,4,Not Graduate,No,23287.84,54726.43,18,733,32602.98,Approved
280,5,Graduate,Yes,45411.29,180480.8,12,433,53562.04,Rejected
281,1,Graduate,Yes,10479.53,41918.12,14,713,13972.71,Approved
282,1,Graduate,No,80343.06,261988.2,18,403,73356.71,Rejected
283,0,Graduate,Yes,32602.98,90822.59,10,405,39589.33,Rejected
284,3,Graduate,Yes,79178.67,231714,10,516,98973.33,Rejected
285,4,Not Graduate,Yes,6986.353,20959.06,8,417,9315.137,Rejected
286,1,Not Graduate,No,54726.43,163014.9,6,468,53562.04,Rejected
287,5,Graduate,Yes,34931.76,137398.3,10,672,47740.08,Approved
288,5,Not Graduate,No,46575.69,161850.5,6,530,69863.53,Rejected
289,1,Not Graduate,Yes,36096.16,131576.3,14,824,51233.25,Approved
290,1,Not Graduate,Yes,89658.2,296920,12,549,81507.45,Rejected
291,5,Not Graduate,Yes,50068.86,108288.5,10,450,47740.08,Rejected
292,1,Graduate,Yes,67534.74,227056.5,20,431,38424.94,Rejected
293,3,Graduate,Yes,41918.12,124590,16,312,60548.39,Rejected
294,0,Not Graduate,Yes,33767.37,88493.8,8,320,36096.16,Rejected
295,0,Graduate,No,102466.5,235207.2,4,433,144384.6,Rejected
296,1,Not Graduate,Yes,3493.176,11643.92,10,431,1164.392,Rejected
297,5,Not Graduate,Yes,100137.7,336509.3,8,516,79178.67,Rejected
298,2,Not Graduate,Yes,40753.73,139727.1,14,476,33767.37,Rejected
299,5,Graduate,No,9315.137,30274.2,6,560,11643.92,Approved
300,2,Graduate,No,93151.37,315550.3,12,674,74521.1,Approved
301,0,Not Graduate,Yes,115274.8,444797.8,6,573,68699.14,Approved
302,2,Not Graduate,No,38424.94,76849.88,6,331,31438.59,Rejected
303,4,Graduate,Yes,23287.84,78014.27,12,633,23287.84,Approved
304,3,Not Graduate,No,57055.22,150206.6,18,877,38424.94,Approved
305,5,Not Graduate,Yes,107124.1,274796.5,12,656,57055.22,Approved
306,0,Not Graduate,No,87329.41,211919.4,6,782,47740.08,Approved
307,5,Not Graduate,No,104795.3,341166.9,4,531,67534.74,Approved
308,3,Not Graduate,No,16301.49,47740.08,8,455,24452.24,Rejected
309,3,Graduate,No,111781.6,231714,14,452,76849.88,Rejected
310,2,Graduate,No,97808.94,386578.2,14,474,133905.1,Rejected
311,3,Not Graduate,No,74521.1,284111.7,4,483,52397.65,Approved
312,4,Graduate,No,68699.14,195617.9,8,481,38424.94,Rejected
313,2,Graduate,Yes,25616.63,59384,20,859,36096.16,Approved
314,4,Graduate,Yes,65205.96,164179.3,14,696,79178.67,Approved
315,4,Not Graduate,No,114110.4,334180.5,6,778,129247.5,Approved
316,4,Graduate,No,51233.25,170001.3,4,499,66370.35,Approved
317,2,Not Graduate,Yes,27945.41,57055.22,4,888,39589.33,Approved
318,1,Graduate,No,51233.25,125754.4,12,674,61712.78,Approved
319,4,Graduate,No,43082.51,153699.8,4,802,50068.86,Approved
320,4,Not Graduate,Yes,26781.02,90822.59,8,540,32602.98,Rejected
321,4,Graduate,Yes,68699.14,228220.9,8,726,93151.37,Approved
322,4,Not Graduate,Yes,74521.1,273632.2,2,485,45411.29,Approved
323,4,Graduate,Yes,57055.22,199111.1,6,612,58219.61,Approved
324,3,Not Graduate,Yes,110617.3,281782.9,8,879,147877.8,Approved
325,2,Not Graduate,No,66370.35,190960.3,12,708,51233.25,Approved
326,2,Not Graduate,Yes,31438.59,66370.35,8,850,45411.29,Approved
327,2,Not Graduate,Yes,45411.29,131576.3,12,516,53562.04,Rejected
328,0,Not Graduate,No,90822.59,335344.9,12,465,86165.02,Rejected
329,0,Graduate,No,12808.31,37260.55,20,716,17465.88,Approved
330,4,Not Graduate,No,2328.784,6986.353,10,404,0,Rejected
331,0,Not Graduate,Yes,54726.43,123425.6,20,512,81507.45,Rejected
332,3,Not Graduate,Yes,95480.16,239864.8,10,441,71027.92,Rejected
333,2,Not Graduate,Yes,53562.04,214248.2,2,555,48904.47,Approved
334,5,Not Graduate,No,20959.06,81507.45,18,466,22123.45,Rejected
335,3,Graduate,Yes,37260.55,100137.7,2,427,54726.43,Rejected
336,4,Not Graduate,Yes,64041.57,232878.4,14,593,57055.22,Approved
337,3,Graduate,No,91986.98,213083.8,10,731,97808.94,Approved
338,1,Graduate,Yes,46575.69,117603.6,16,451,45411.29,Rejected
339,3,Not Graduate,Yes,79178.67,196782.3,18,628,57055.22,Approved
340,1,Not Graduate,No,31438.59,109452.9,18,704,27945.41,Approved
341,2,Not Graduate,No,79178.67,273632.2,12,341,98973.33,Rejected
342,5,Graduate,No,100137.7,244522.4,8,465,115274.8,Rejected
343,4,Graduate,No,93151.37,350482,4,431,133905.1,Approved
344,1,Graduate,Yes,43082.51,146713.4,10,424,51233.25,Rejected
345,0,Graduate,No,30274.2,59384,14,678,36096.16,Approved
346,4,Graduate,No,48904.47,195617.9,6,381,68699.14,Rejected
347,5,Graduate,Yes,93151.37,326029.8,10,449,45411.29,Rejected
348,1,Not Graduate,No,82671.84,273632.2,12,768,85000.63,Approved
349,0,Not Graduate,No,23287.84,81507.45,6,666,16301.49,Rejected
350,4,Not Graduate,Yes,67534.74,154864.2,14,742,81507.45,Approved
351,3,Not Graduate,Yes,78014.27,183974,4,445,105959.7,Rejected
352,2,Graduate,No,85000.63,334180.5,14,634,125754.4,Approved
353,4,Not Graduate,No,38424.94,112946,14,782,25616.63,Approved
354,0,Graduate,No,34931.76,81507.45,10,781,31438.59,Approved
355,4,Not Graduate,No,91986.98,200275.4,14,318,104795.3,Rejected
356,5,Not Graduate,No,88493.8,280618.5,18,721,83836.23,Approved
357,5,Not Graduate,No,43082.51,114110.4,4,563,34931.76,Approved
358,2,Not Graduate,No,97808.94,306235.1,4,419,72192.31,Approved
359,0,Graduate,Yes,95480.16,242193.6,14,372,60548.39,Rejected
360,0,Not Graduate,No,33767.37,110617.3,18,885,40753.73,Approved
361,1,Not Graduate,Yes,115274.8,447126.6,12,596,79178.67,Approved
362,0,Graduate,No,51233.25,164179.3,2,349,72192.31,Approved
363,1,Not Graduate,Yes,104795.3,374934.3,16,468,126918.7,Rejected
364,3,Not Graduate,Yes,79178.67,313221.5,16,818,85000.63,Approved
365,2,Not Graduate,No,101302.1,326029.8,12,543,78014.27,Rejected
366,3,Graduate,No,109452.9,255001.9,16,685,58219.61,Approved
367,3,Not Graduate,Yes,69863.53,145549,18,851,58219.61,Approved
368,1,Not Graduate,Yes,109452.9,346988.9,10,377,136233.9,Rejected
369,0,Not Graduate,Yes,11643.92,46575.69,10,620,12808.31,Approved
370,3,Graduate,Yes,10479.53,26781.02,20,611,5821.961,Approved
371,4,Not Graduate,No,24452.24,89658.2,4,767,15137.1,Approved
372,5,Graduate,Yes,12808.31,37260.55,20,592,5821.961,Approved
373,0,Graduate,Yes,6986.353,26781.02,4,319,8150.745,Approved
374,4,Not Graduate,Yes,107124.1,296920,10,900,149042.2,Approved
375,2,Not Graduate,Yes,41918.12,149042.2,18,814,47740.08,Approved
376,5,Not Graduate,Yes,15137.1,58219.61,10,755,22123.45,Approved
377,5,Graduate,Yes,89658.2,195617.9,20,584,93151.37,Approved
378,4,Graduate,Yes,110617.3,273632.2,14,380,85000.63,Rejected
379,2,Not Graduate,Yes,58219.61,204933,20,465,60548.39,Rejected
380,0,Not Graduate,No,5821.961,20959.06,2,531,8150.745,Approved
381,1,Graduate,Yes,96644.55,373769.9,16,814,87329.41,Approved
382,0,Graduate,No,61712.78,208426.2,6,678,41918.12,Approved
